analysis/Consensus/apping/custom/ca,Count
Kluyveromyces_lactis,891
Candida_parapsilosis,254
Candida_metapsilosis,113
Candida_albicans,86
Candida_orthopsilosis,65
Meyerozyma_guillermondii,31
Candida_zeylanoides,16
Kluyveromyces_marxianus,4
Blastobotrys_proliferans,4
Kodamaea_ohmeri,4
Galactomyces_geotrichum,4
Wickerhamomyces_anomalus,4
Pichia_membranifaciens,3
Saccharomyces_cerevisiae,3
Yamadazyma_scolyti,3
Zygoascus_hellenicus,2
Yamadazyma_mexicana,2
Cryptococcus_gattii,2
Cladophialophora_sp.,2
Cryptococcus_neoformans,2
Entoleuca_sp.,1
Pichia_kudriavzevii,1
Pyrenophora_tritici-repentis,1
Rhodotorula_mucilaginosa,1
Clavispora_lusitaniae,1
